BIRTH_DATE,EMPLOYEE_ID,EMPLOYMENT_STATUS,ETHNICITY,GENDER,ID
1985-04-15,1,Full-Time,Caucasian,Male,1
1990-06-22,2,Full-Time,Hispanic,Female,2
1987-03-11,3,Full-Time,African American,Female,3
1982-11-09,4,Full-Time,Caucasian,Male,4
1988-01-19,5,Full-Time,Asian,Female,5
1985-08-25,6,Full-Time,Caucasian,Male,6
1984-07-03,7,Full-Time,Hispanic,Female,7
1992-09-28,8,Full-Time,African American,Male,8
1994-05-17,9,Part-Time,Caucasian,Female,9
1989-10-14,10,Full-Time,Asian,Female,10
1986-12-29,11,Full-Time,African American,Male,11
1990-03-06,12,Full-Time,Caucasian,Female,12
1987-07-30,13,Contractor,Asian,Male,13
1991-09-12,14,Full-Time,Hispanic,Female,14
1983-10-24,15,Full-Time,Caucasian,Male,15
1994-01-08,16,Full-Time,African American,Female,16
1989-08-21,17,Full-Time,Hispanic,Male,17
1985-11-17,18,Full-Time,Caucasian,Female,18
1992-04-02,19,Full-Time,Asian,Female,19
1988-12-10,20,Full-Time,Caucasian,Male,20
1993-06-15,21,Full-Time,Asian,Female,21
1985-09-20,22,Contractor,Caucasian,Male,22
1990-10-05,23,Full-Time,Hispanic,Female,23
1991-02-27,24,Full-Time,Caucasian,Female,24
1984-11-04,25,Full-Time,African American,Male,25
1988-07-29,26,Full-Time,Caucasian,Male,26
1993-01-22,27,Part-Time,Hispanic,Male,27
1986-06-06,28,Full-Time,Asian,Female,28
1992-05-18,29,Full-Time,Caucasian,Female,29
1984-03-19,30,Full-Time,Caucasian,Male,30
1991-08-07,31,Full-Time,Hispanic,Female,31
1987-04-26,32,Full-Time,Asian,Male,32
1990-12-01,33,Full-Time,Caucasian,Female,33
1985-09-14,34,Full-Time,African American,Male,34
1994-03-11,35,Full-Time,Hispanic,Female,35
1989-05-25,36,Full-Time,Caucasian,Female,36
1986-07-17,37,Full-Time,Caucasian,Male,37
1987-01-02,38,Full-Time,Asian,Female,38
1984-10-21,39,Part-Time,African American,Male,39
1983-02-03,40,Full-Time,Caucasian,Male,40
1989-09-29,41,Full-Time,Hispanic,Female,41
1992-06-24,42,Full-Time,Caucasian,Male,42
1988-08-16,43,Full-Time,Asian,Male,43
1990-04-11,44,Contractor,Caucasian,Female,44
1993-11-30,45,Full-Time,Hispanic,Female,45
1985-01-26,46,Full-Time,African American,Male,46
1987-02-18,47,Full-Time,Caucasian,Female,47
1988-07-12,48,Full-Time,Asian,Male,48
1991-11-02,49,Full-Time,Caucasian,Male,49
1984-03-14,50,Full-Time,Hispanic,Male,50